ID,location,PropertyType,BHK,price
42801491,Vidyadhar Nagar,residential house,2.0,9000
42833813,C-Scheme,apartment,3.0,36000
42878635,Nemi Nagar,residential house,3.0,10000
42774009,Shri Gopal Nagar,apartment,3.0,16000
41195405,Vatika Road,villa,3.0,15000
26842717,Mansarovar,builder floor apartment,3.0,16000
26163259,Jagatpura,residential house,2.0,18000
42244413,Pratap Nagar,residential house,3.0,25000
42727715,Vaishali Nagar,residential house,2.0,16000
41549411,Bani Park,builder floor apartment,3.0,30000
42765381,Pratap Nagar,residential house,2.0,12500
41351841,Kanak Vihar,apartment,3.0,11000
41621909,Ajmer Road,villa,3.0,8500
41654175,Malviya Nagar,villa,2.0,23500
40363755,Amer,hostel,10.0,60000
42640225,Bhankrota,apartment,2.0,9500
34522979,Nh 8,apartment,3.0,8000
22362807,Gandhi Path,residential house,2.0,8000
42834331,Tonk Road,apartment,2.0,10000
39738337,Ajmer Road,apartment,3.0,20000
40244573,Bagru,apartment,3.0,17000
42856649,Kanak Vihar,residential house,3.0,12000
36744037,Civil Lines,residential house,2.0,20000
27720239,Tonk Road,villa,6.0,25000
41568647,Sikar Road,apartment,3.0,31000
41858221,Ajmer Road,apartment,3.0,18000
41671857,Model Town,residential house,3.0,23000
27201979,Triveni,residential house,2.0,12500
42750211,Shyam Nagar,apartment,2.0,20000
42763885,Sanganer,apartment,2.0,12000
42764521,Niwaru Road,apartment,2.0,8000
42769229,Jagatpura,builder floor apartment,3.0,18000
42816755,Jagatpura,apartment,3.0,22000
42621591,Patrakar Colony,apartment,2.0,13000
20167203,Gopal Pura By Pass,residential house,2.0,20000
42243523,Kalwar Road,apartment,3.0,7500
42528705,New Sanganare Road,apartment,2.0,15000
42525771,Vaishali Nagar,residential house,2.0,16000
42541361,Jagatpura,apartment,3.0,17000
42411349,Benar Road,apartment,2.0,7500
36518319,Jagatpura,villa,1.0,12000
42794869,Malviya Nagar,residential house,3.0,20000
42311577,Narayan Vihar,apartment,3.0,10000
42441321,Ajmer Road,penthouse,4.0,60000
42490907,Ajmer Road,apartment,2.0,13000
42500209,Omaxe City,apartment,3.0,9999
34378951,Ajmer Road,apartment,3.0,8000
42149413,Civil Lines,residential house,3.0,12000
41896145,Niwaru Road,apartment,3.0,8000
42930521,Nirman Nagar,villa,2.0,25000
42916907,Bani Park,apartment,2.0,16000
42598989,Chitrakoot,residential house,3.0,15000
42622099,New Sanganer Road,apartment,2.0,11000
42615249,Ajmer Road,apartment,2.0,10000
36549261,Bapu Nagar,apartment,3.0,100000
42461713,Jagatpura,residential house,3.0,15000
42448793,Kartarpur,apartment,2.0,16000
42579689,Jhotwara,residential house,2.0,8500
42573309,Jagatpura,apartment,2.0,16000
28272565,Sirsi Road,apartment,2.0,10000
42511003,Mansarovar,apartment,3.0,30000
42065135,Chitrakoot,residential house,1.0,9000
41818839,Sanganer,builder floor apartment,3.0,16000
41871937,Ajmer Road,residential house,3.0,12000
41687905,Jagatpura,apartment,2.0,15000
42661321,Mahaveer Nagar,residential house,3.0,16500
42724931,Khatipura,residential house,2.0,12000
42698663,Civil Lines,apartment,3.0,22000
42726047,Vaishali Nagar,apartment,3.0,23000
28270941,Raja Park,apartment,3.0,20000
42724481,Devi Nagar,residential house,3.0,20000
22540165,Kasturba Nagar,apartment,2.0,8000
42755175,Pratap Nagar,residential house,2.0,12000
33525175,Ajmer Road,villa,3.0,10000
42630751,Model Town,residential house,2.0,13000
18434121,Ajmer Road,builder floor apartment,3.0,11000
36216639,Jagatpura,apartment,2.0,12000
42661213,Mansarovar,residential house,2.0,15000
42597141,Vaishali Nagar,apartment,2.0,25000
42655875,C-Scheme,apartment,3.0,35000
42394679,Sirsi Road,apartment,3.0,12500
42509809,C-Scheme,residential house,5.0,32000
18750755,Tagore Nagar,residential house,2.0,15000
42447645,Gopal Pura By Pass,residential house,6.0,200000
42460943,Omaxe City,apartment,2.0,15000
42398089,Model Town,residential house,3.0,13000
42722043,Siddharth Nagar,builder floor apartment,3.0,18000
42546435,Vaishali Nagar,builder floor apartment,2.0,22000
42556569,Shyam Nagar,residential house,6.0,40000
42752367,Murlipura,builder floor apartment,2.0,12000
41556133,Gopal Pura By Pass,residential house,2.0,16000
42349051,Lalarpura,residential house,2.0,8500
40583263,Vaishali Nagar,apartment,3.0,11000
31326607,Pratap Nagar,apartment,3.0,10000
39195559,Malviya Nagar,residential house,5.0,50000
42161695,Doctors Colony,apartment,2.0,12000
42643399,Ambabari Colony,apartment,2.0,13000
41174097,Vaishali Nagar,residential house,2.0,16000
36308291,Mansarovar,residential house,2.0,20000
